C,N,R,col_err,eta,family,hyb_cost,hyb_gap_pct,m,max_cell_dev,mode,n,opt_cost,opt_time,relax_time,round_time,rounder,row_err,tau,topk,trial
,10000,,,0.0,transport,322.92537466191106,0.0,100,,exact,100,322.92537466191106,0.04676413536071777,0.0011129379272460938,0.05124521255493164,,,0.05,30,15
,10000,,,0.0,transport,330.83093580951436,0.0,100,,exact,100,330.83093580951436,0.0431368350982666,0.0011560916900634766,0.0457608699798584,,,0.05,30,16
,10000,,,0.0,transport,421.7032638121679,0.0,100,,exact,100,421.7032638121679,0.04713582992553711,0.0011556148529052734,0.046552181243896484,,,0.05,30,17
,10000,,,0.0,transport,295.80828949039153,0.0,100,,exact,100,295.80828949039153,0.046895503997802734,0.0009219646453857422,0.04714369773864746,,,0.05,30,18
,10000,,,0.0,transport,299.5963392638055,0.0,100,,exact,100,299.5963392638055,0.04733586311340332,0.0011017322540283203,0.046570539474487305,,,0.05,30,19
,10000,,,0.0,transport,329.72588118082604,0.0,100,,exact,100,329.72588118082604,0.04392528533935547,0.0008118152618408203,0.04486274719238281,,,0.05,30,20
,20000,,,0.0,transport,321.8316692428512,0.0,200,,exact,200,321.8316692428512,0.272200345993042,0.001888275146484375,0.2859194278717041,,,0.05,30,1
,20000,,,0.0,transport,317.99240039381385,0.0,200,,exact,200,317.99240039381385,0.2804272174835205,0.0017824172973632812,0.3011746406555176,,,0.05,30,2
,20000,,,0.0,transport,278.72999533820604,0.0,200,,exact,200,278.72999533820604,0.261730432510376,0.0017557144165039062,0.25911927223205566,,,0.05,30,3
,20000,,,0.0,transport,322.86777855068004,0.0,200,,exact,200,322.86777855068004,0.2574727535247803,0.0021665096282958984,0.2575829029083252,,,0.05,30,4
,20000,,,0.0,transport,285.60348363583785,0.0,200,,exact,200,285.60348363583785,0.28043270111083984,0.002439260482788086,0.2793309688568115,,,0.05,30,5
,20000,,,0.0,transport,317.49296581100924,0.0,200,,exact,200,317.49296581100924,0.29831433296203613,0.002369403839111328,0.2680399417877197,,,0.05,30,6
,20000,,,0.0,transport,314.2871736526165,0.0,200,,exact,200,314.2871736526165,0.25606298446655273,0.0018134117126464844,0.2447071075439453,,,0.05,30,7
,20000,,,0.0,transport,340.63713254582694,0.0,200,,exact,200,340.63713254582694,0.2613251209259033,0.0020089149475097656,0.2585337162017822,,,0.05,30,8
,20000,,,0.0,transport,366.62716295863567,0.0,200,,exact,200,366.62716295863567,0.2971951961517334,0.0024385452270507812,0.2614481449127197,,,0.05,30,9
,20000,,,0.0,transport,285.2724187400353,0.0,200,,exact,200,285.2724187400353,0.26420092582702637,0.0017304420471191406,0.2625114917755127,,,0.05,30,10
,20000,,,0.0,transport,346.9935251592294,0.0,200,,exact,200,346.9935251592294,0.2789452075958252,0.002152681350708008,0.26994967460632324,,,0.05,30,11
,20000,,,0.0,transport,330.83325390828054,0.0,200,,exact,200,330.83325390828054,0.2648770809173584,0.0021016597747802734,0.3020045757293701,,,0.05,30,12
,20000,,,0.0,transport,371.3773960981389,0.0,200,,exact,200,371.3773960981389,0.293499231338501,0.001934051513671875,0.27419519424438477,,,0.05,30,13
,20000,,,0.0,transport,339.0054765323926,0.0,200,,exact,200,339.0054765323926,0.27710628509521484,0.0018880367279052734,0.28813934326171875,,,0.05,30,14
,20000,,,0.0,transport,307.5610855665412,0.0,200,,exact,200,307.5610855665412,0.27159953117370605,0.002337932586669922,0.28173160552978516,,,0.05,30,15
,20000,,,0.0,transport,329.9414240493931,0.0,200,,exact,200,329.9414240493931,0.28605175018310547,0.0020723342895507812,0.2538025379180908,,,0.05,30,16
,20000,,,0.0,transport,353.485546172991,0.0,200,,exact,200,353.485546172991,0.2742161750793457,0.0016067028045654297,0.2745230197906494,,,0.05,30,17
