anytime_method_0,anytime_method_1,anytime_method_2,anytime_method_3,anytime_obj_0,anytime_obj_1,anytime_obj_2,anytime_obj_3,anytime_summary,anytime_t_0,anytime_t_1,anytime_t_2,anytime_t_3,controller,dataset,family,feasible,gap_pct,hyb_int,hyb_total,improve,k,m,mip_obj,mip_time,n,polish_obj,polish_time,relax_obj,relax_time,round_main,round_obj,round_rr,seed,trial
relaxation,randomized_rounding,local_improvement,,nan,516.0,347.0,,randomized_rounding:516@0.122s|local_improvement:347@0.136s,0.06666135787963867,0.12166745787544642,0.13590875787485857,,both,rail582,RAIL582,1,63.679245283018865,347.0,21.318585200002417,0.01424129999941215,1,55515,212.0,19.563581466674805,582,347.0,0.7870824337005615,427.046002956652,0.06666135787963867,0.0,516.0,0.055006099995807745,421,10
relaxation,randomized_rounding,local_improvement,,nan,506.0,337.0,,randomized_rounding:506@0.049s|local_improvement:337@0.058s,0.02138233184814453,0.04871853184886277,0.05757293185160961,,both,rail582,RAIL582,1,58.9622641509434,337.0,20.040016600003582,0.008854400002746843,1,55515,212.0,18.144737243652344,582,337.0,0.6030914783477783,427.046002956652,0.02138233184814453,0.0,506.0,0.027336200000718236,422,11
relaxation,randomized_rounding,local_improvement,,nan,532.0,346.0,,randomized_rounding:532@0.122s|local_improvement:346@0.150s,0.07156801223754883,0.1221409122372279,0.14965201223094482,,both,rail582,RAIL582,1,63.20754716981132,346.0,21.53965409999364,0.027511099993716925,1,55515,212.0,19.215258836746216,582,346.0,1.159843921661377,427.046002956652,0.07156801223754883,0.0,532.0,0.050572899999679066,423,12
relaxation,randomized_rounding,local_improvement,,nan,546.0,341.0,,randomized_rounding:546@0.044s|local_improvement:341@0.049s,0.023537397384643555,0.04408179738675244,0.049191197380423546,,both,rail582,RAIL582,1,60.84905660377358,341.0,20.266183300002012,0.005109399993671104,1,55515,212.0,18.15502643585205,582,341.0,0.44147205352783203,427.046002956652,0.023537397384643555,0.0,546.0,0.020544400002108887,424,13
relaxation,randomized_rounding,local_improvement,,nan,522.0,334.0,,randomized_rounding:522@0.035s|local_improvement:334@0.041s,0.017906665802001953,0.034607965804752894,0.0412995657970896,,both,rail582,RAIL582,1,57.54716981132076,334.0,18.701092300005257,0.006691599992336705,1,55515,212.0,17.64073085784912,582,334.0,0.4684014320373535,427.046002956652,0.017906665802001953,0.0,522.0,0.01670130000275094,425,14
relaxation,randomized_rounding,local_improvement,,nan,506.0,335.0,,randomized_rounding:506@0.048s|local_improvement:335@0.053s,0.0204010009765625,0.04797410097671673,0.05335770096280612,,both,rail582,RAIL582,1,58.0188679245283,335.0,19.381578700005775,0.0053835999860893935,1,55515,212.0,18.26421356201172,582,335.0,0.5596141815185547,427.046002956652,0.0204010009765625,0.0,506.0,0.027573100000154227,426,15
relaxation,randomized_rounding,local_improvement,,nan,516.0,334.0,,randomized_rounding:516@0.079s|local_improvement:334@0.095s,0.03776860237121582,0.07905000237224158,0.09472770236607175,,both,rail582,RAIL582,1,57.54716981132076,334.0,20.725090599997202,0.015677699993830174,1,55515,212.0,18.721612453460693,582,334.0,0.846412181854248,427.046002956652,0.03776860237121582,0.0,516.0,0.04128140000102576,427,16
relaxation,randomized_rounding,local_improvement,,nan,533.0,337.0,,randomized_rounding:533@0.036s|local_improvement:337@0.045s,0.0174410343170166,0.0361655343149323,0.044777534320019186,,both,rail582,RAIL582,1,58.9622641509434,337.0,20.136263000007602,0.008612000005086884,1,55515,212.0,18.059671640396118,582,337.0,0.5646436214447021,427.046002956652,0.0174410343170166,0.0,533.0,0.0187244999979157,428,17
relaxation,randomized_rounding,local_improvement,polish,nan,532.0,332.0,240.0,randomized_rounding:532@0.030s|local_improvement:332@0.034s|polish:240@0.730s,0.016720056533813477,0.02978645653638523,0.03365315654082224,0.7299930021981709,both,rail582,RAIL582,1,13.20754716981132,240.0,21.969978499997524,0.003866700004437007,1,55515,212.0,20.639850854873657,582,240.0,0.6963398456573486,427.046002956652,0.016720056533813477,0.0,532.0,0.013066400002571754,429,18
relaxation,randomized_rounding,local_improvement,,nan,526.0,334.0,,randomized_rounding:526@0.036s|local_improvement:334@0.041s,0.021755456924438477,0.036193256921251304,0.040693756920518354,,both,rail582,RAIL582,1,57.54716981132076,334.0,20.385898599997745,0.004500499999267049,1,55515,212.0,19.260074377059937,582,334.0,0.5884277820587158,427.046002956652,0.021755456924438477,0.0,526.0,0.014437799996812828,430,19
