family,n,m,trial,density,tau,tau_schedule,iters,tol,hyb_int,hyb_time,relax_time,feasible,mip_obj,mip_time,gap_pct,anytime_t_0,anytime_obj_0,anytime_method_0,anytime_summary
SYN,200,4000,18,0.002,0.1,,200,0.001,15.012269990643453,0.6053466796875,0.004363298416137695,1,14.809770300509703,30.074137926101685,15.425680668928909,0.6053469181060791,15.012269990643453,hybrid,hybrid:15@0.605s
SYN,200,4000,19,0.002,0.1,,200,0.001,14.896965923287091,0.6583390235900879,0.008016586303710938,1,14.220140854810648,30.046477794647217,15.159317896449123,0.6583399772644043,14.896965923287091,hybrid,hybrid:15@0.658s
SYN,300,6000,0,0.002,0.1,,200,0.001,19.625533424822834,1.1299598217010498,0.00966501235961914,1,20.672313766661976,30.0791437625885,26.49154730110522,1.129960298538208,19.625533424822834,hybrid,hybrid:20@1.130s
SYN,300,6000,1,0.002,0.1,,200,0.001,17.685098879175822,1.1542162895202637,0.010414600372314453,1,18.159226438751116,30.09205436706543,25.818664499978233,1.1542167663574219,17.685098879175822,hybrid,hybrid:18@1.154s
SYN,300,6000,2,0.002,0.1,,200,0.001,19.37414919552871,1.1186861991882324,0.009435176849365234,1,19.07715009631578,30.077821731567383,24.347846184820217,1.118687629699707,19.37414919552871,hybrid,hybrid:19@1.119s
SYN,300,6000,3,0.002,0.1,,200,0.001,18.414534524562757,1.0546863079071045,0.00805807113647461,1,18.38597639940613,30.072337865829468,26.975219893814064,1.054687261581421,18.414534524562757,hybrid,hybrid:18@1.055s
SYN,300,6000,4,0.002,0.1,,200,0.001,19.390834858204578,1.1525392532348633,0.009903430938720703,1,20.372019370718778,30.1026713848114,29.570825780449077,1.1525399684906006,19.390834858204578,hybrid,hybrid:19@1.153s
SYN,300,6000,5,0.002,0.1,,200,0.001,18.210673779513684,5.352995872497559,0.020775794982910156,1,20.42348709815876,30.211102724075317,31.41073408572806,5.35299825668335,18.210673779513684,hybrid,hybrid:18@5.353s
SYN,300,6000,6,0.002,0.1,,200,0.001,17.550817402995044,5.194861650466919,0.023761749267578125,1,18.54060223641359,30.18677258491516,27.920505440973375,5.194863319396973,17.550817402995044,hybrid,hybrid:18@5.195s
SYN,300,6000,7,0.002,0.1,,200,0.001,18.132278661152462,5.25385308265686,0.023022890090942383,1,19.12262525305803,30.219213008880615,24.796891521873484,5.253855228424072,18.132278661152462,hybrid,hybrid:18@5.254s
SYN,300,6000,8,0.002,0.1,,200,0.001,18.589115289603143,5.257209777832031,0.018094301223754883,1,19.120760300255878,30.180685997009277,26.93022163847147,5.257212162017822,18.589115289603143,hybrid,hybrid:19@5.257s
SYN,300,6000,9,0.002,0.1,,200,0.001,19.660892337038923,1.3957855701446533,0.009350061416625977,1,20.490463309230723,30.120242595672607,28.866074434145943,1.3957860469818115,19.660892337038923,hybrid,hybrid:20@1.396s
SYN,300,6000,10,0.002,0.1,,200,0.001,17.550703190474678,4.675262212753296,0.019580841064453125,1,18.979363748243856,30.18290424346924,31.411033486009423,4.675264358520508,17.550703190474678,hybrid,hybrid:18@4.675s
SYN,300,6000,11,0.002,0.1,,200,0.001,18.68462984770788,1.3573455810546875,0.008584976196289062,1,19.7738165600275,30.108978271484375,27.004749389834547,1.357346534729004,18.68462984770788,hybrid,hybrid:19@1.357s
SYN,300,6000,12,0.002,0.1,,200,0.001,18.426047031746023,1.492286205291748,0.011089324951171875,1,19.559680864236356,30.13686203956604,28.70830930180441,1.4922873973846436,18.426047031746023,hybrid,hybrid:18@1.492s
SYN,300,6000,13,0.002,0.1,,200,0.001,18.05870408621684,4.924386978149414,0.01805257797241211,1,20.13843787671245,30.181442260742188,30.635206191454266,4.924389362335205,18.05870408621684,hybrid,hybrid:18@4.924s
SYN,300,6000,14,0.002,0.1,,200,0.001,19.030807787988465,5.92540717124939,0.021286487579345703,1,20.1730548486011,30.453593254089355,28.098554480924147,5.925409555435181,19.030807787988465,hybrid,hybrid:19@5.925s
SYN,300,6000,15,0.002,0.1,,200,0.001,17.821115231950355,2.9890389442443848,0.021219730377197266,1,17.093848378256332,30.129918813705444,22.121997260839674,2.9890401363372803,17.821115231950355,hybrid,hybrid:18@2.989s
SYN,300,6000,16,0.002,0.1,,200,0.001,17.53644023686736,1.1360952854156494,0.009443044662475586,1,17.83690283697259,30.101866006851196,25.005316030328018,1.1360962390899658,17.53644023686736,hybrid,hybrid:18@1.136s
SYN,300,6000,17,0.002,0.1,,200,0.001,17.664733317282003,5.143497705459595,0.017257213592529297,1,18.082013516026652,30.18605327606201,25.395579979877287,5.143499851226807,17.664733317282003,hybrid,hybrid:18@5.143s
SYN,300,6000,18,0.002,0.1,,200,0.001,19.76299267476177,1.3203415870666504,0.009429931640625,1,20.377563707040512,30.160011053085327,28.37699911242577,1.320342779159546,19.76299267476177,hybrid,hybrid:20@1.320s
SYN,300,6000,19,0.002,0.1,,200,0.001,17.22232454030535,1.361628770828247,0.006254434585571289,1,17.73860901395091,30.105507850646973,27.833673928224766,1.3616297245025635,17.22232454030535,hybrid,hybrid:17@1.362s
