family,n,m,trial,hybrid_obj,hybrid_time,cold_obj,cold_time,warm_obj,warm_time,improvement_time,hybrid_gap_pct,warm_improvement,speedup_vs_cold
WARMSTART,400,8000,6,20.733590805729143,2.7655277252197266,21.0329258032,30.13105797767639,20.681008203465275,30.615145921707153,29.003425359725952,-1.4231733629056795,0.05258260226386824,0.9841879589511436
WARMSTART,400,8000,7,21.3964375404421,9.890912532806396,22.646214633210356,30.220039129257202,21.3964375404421,30.4655659198761,,-5.518701968564206,0.0,0.9919408426134401
WARMSTART,400,8000,8,20.39325068009686,12.020950555801392,21.5878043192083,30.224553108215332,20.39325068009686,30.44383692741394,,-5.533465198443343,0.0,0.9927971030812759
WARMSTART,400,8000,9,21.116989701640488,12.170387268066406,22.018987447734176,30.29603934288025,21.004851419264746,30.50344967842102,15.778834104537964,-4.096454245385868,0.1121382823757422,0.9932004301897861
WARMSTART,800,16000,0,29.07274230125356,31.08364772796631,69.22023999340708,30.73129677772522,29.07274230125356,30.42272424697876,,-57.9996511077936,0.0,1.010142830347519
WARMSTART,800,16000,1,28.81057910386418,7.232578277587891,32.42517187646658,30.290008068084717,28.810579103864175,30.346646070480347,0.3463733196258545,-11.147489938906958,3.552713678800501e-15,0.9981336322220226
WARMSTART,800,16000,2,26.843420835088626,9.091880321502686,31.81907255917806,30.3603458404541,26.840582445977333,30.331307649612427,29.416868686676025,-15.637324798941165,0.0028383891112930826,1.0009573669284926
WARMSTART,800,16000,3,28.794772075409124,7.416097164154053,33.27123119171512,30.446297645568848,28.794772075409128,30.311636924743652,,-13.454443842224503,0.0,1.0044425420230363
WARMSTART,800,16000,4,28.610394194715248,6.323256015777588,33.56669402196151,30.270421028137207,28.610394194715248,30.906119346618652,,-14.765528663631661,0.0,0.9794313122475211
WARMSTART,800,16000,5,29.068987486234754,24.561493158340454,72.864212297278,30.757911920547485,29.068987486234754,30.902915477752686,,-60.105260772412564,0.0,0.9953077709671247
WARMSTART,800,16000,6,27.589145946910676,26.53654384613037,68.89269104037228,30.53040099143982,27.58914594691068,30.816251754760742,,-59.95345002455635,0.0,0.9907240255695029
WARMSTART,800,16000,7,27.894150681722603,23.339504957199097,70.63474499218336,30.662332773208618,27.894150681722596,30.82314395904541,0.8114068508148193,-60.50930645419693,7.105427357601002e-15,0.9947827779654644
WARMSTART,800,16000,8,28.511026475946082,24.148786544799805,71.07798806449084,30.49734878540039,28.511026475946082,30.796115159988403,,-59.8876849889486,0.0,0.9902985693800697
WARMSTART,800,16000,9,29.286170223425845,29.23266363143921,74.08466292317199,30.654088973999023,29.28617022342585,31.04553771018982,,-60.46932108769061,0.0,0.9873911432990798
